"","Score","Treatment"
"1",5,"Extrinsic"
"2",5.40000009536743,"Extrinsic"
"3",6.09999990463257,"Extrinsic"
"4",10.8999996185303,"Extrinsic"
"5",11.8000001907349,"Extrinsic"
"6",12,"Extrinsic"
"7",12.3000001907349,"Extrinsic"
"8",14.8000001907349,"Extrinsic"
"9",15,"Extrinsic"
"10",16.7999992370605,"Extrinsic"
"11",17.2000007629395,"Extrinsic"
"12",17.2000007629395,"Extrinsic"
"13",17.3999996185303,"Extrinsic"
"14",17.5,"Extrinsic"
"15",18.5,"Extrinsic"
"16",18.7000007629395,"Extrinsic"
"17",18.7000007629395,"Extrinsic"
"18",19.2000007629395,"Extrinsic"
"19",19.5,"Extrinsic"
"20",20.7000007629395,"Extrinsic"
"21",21.2000007629395,"Extrinsic"
"22",22.1000003814697,"Extrinsic"
"23",24,"Extrinsic"
"24",12,"Intrinsic"
"25",12,"Intrinsic"
"26",12.8999996185303,"Intrinsic"
"27",13.6000003814697,"Intrinsic"
"28",16.6000003814697,"Intrinsic"
"29",17.2000007629395,"Intrinsic"
"30",17.5,"Intrinsic"
"31",18.2000007629395,"Intrinsic"
"32",19.1000003814697,"Intrinsic"
"33",19.2999992370605,"Intrinsic"
"34",19.7999992370605,"Intrinsic"
"35",20.2999992370605,"Intrinsic"
"36",20.5,"Intrinsic"
"37",20.6000003814697,"Intrinsic"
"38",21.2999992370605,"Intrinsic"
"39",21.6000003814697,"Intrinsic"
"40",22.1000003814697,"Intrinsic"
"41",22.2000007629395,"Intrinsic"
"42",22.6000003814697,"Intrinsic"
"43",23.1000003814697,"Intrinsic"
"44",24,"Intrinsic"
"45",24.2999992370605,"Intrinsic"
"46",26.7000007629395,"Intrinsic"
"47",29.7000007629395,"Intrinsic"
